iter	Logloss
0	0.6641612331
1	0.6406079054
2	0.6166054542
3	0.5970178698
4	0.5809176621
5	0.5652265682
6	0.5524857193
7	0.5393748948
8	0.5283640749
9	0.5175724811
10	0.5085424868
11	0.4997446937
12	0.4921942261
13	0.4857861195
14	0.4793334989
15	0.4740391702
16	0.4689446396
17	0.464172858
18	0.4599346386
19	0.4567550265
20	0.4531205553
21	0.4495994248
22	0.4459593501
23	0.4431838963
24	0.4405941858
25	0.4378765724
26	0.4355324821
27	0.433238627
28	0.4314088733
29	0.4296552273
30	0.4276033085
31	0.4260640887
32	0.4241749766
33	0.4226478549
34	0.4213577612
35	0.4203439443
36	0.418868883
37	0.4178018849
38	0.4166641429
39	0.4155852488
40	0.4146343107
41	0.4136534351
42	0.4128060412
43	0.4120348466
44	0.4111658064
45	0.4103736156
46	0.409571152
47	0.4088377113
48	0.4080213475
49	0.4074300737
50	0.4067738997
51	0.4061377401
52	0.4056023248
53	0.4050141503
54	0.4044945373
55	0.4040519679
56	0.4035186724
57	0.4030340799
58	0.4026221025
59	0.4020909991
60	0.4017604244
61	0.4012857014
62	0.4008305245
63	0.400516288
64	0.4001128355
65	0.399821435
66	0.3995662786
67	0.3992188045
68	0.3988633748
69	0.3985207737
70	0.3982274213
71	0.3980258158
72	0.3976935145
73	0.3974115631
74	0.3970141717
75	0.3966932986
76	0.3963708454
77	0.3959955129
78	0.3957550025
79	0.3953655001
80	0.3951448344
81	0.3949466159
82	0.3948018855
83	0.3946618341
84	0.3943762344
85	0.3940791549
86	0.3939182558
87	0.393590892
88	0.393354309
89	0.3932193421
90	0.3930056117
91	0.3928297346
92	0.3926096666
93	0.3923780403
94	0.3921807968
95	0.3920325456
96	0.3918049579
97	0.3916079671
98	0.3914177249
99	0.3911641553
100	0.3909320608
101	0.3907778742
102	0.3905928616
103	0.3904649597
104	0.3903082226
105	0.3901048622
106	0.3899353928
107	0.3897013148
108	0.3895904778
109	0.389465969
110	0.3893076812
111	0.3891046178
112	0.3889264636
113	0.3887881353
114	0.3886027576
115	0.3884593192
116	0.3882968138
117	0.3882193423
118	0.3881407081
119	0.387953769
120	0.3878523999
121	0.3876922637
122	0.3875264306
123	0.3874606571
124	0.3873216416
125	0.3871795982
126	0.3870630992
127	0.3869321555
128	0.3867984983
129	0.3866905226
130	0.386602637
131	0.3865123332
132	0.3864043472
133	0.3863297739
134	0.3861913111
135	0.3860708404
136	0.3859435362
137	0.3858537984
138	0.3857386711
139	0.3856597954
140	0.3855522551
141	0.38539561
142	0.3853285577
143	0.3851835
144	0.3851245652
145	0.3850655917
146	0.3849754164
147	0.3848994061
148	0.3848347444
149	0.3847623912
150	0.3846280427
151	0.3845236602
152	0.3844459973
153	0.3843817615
154	0.3842504315
155	0.3841937599
156	0.3840992263
157	0.3839971884
158	0.3839277457
159	0.3838371858
160	0.3837163613
161	0.383671306
162	0.3835806771
163	0.3834818501
164	0.3834054029
165	0.3833638216
166	0.383274575
167	0.3832065171
168	0.3831137108
169	0.3830454048
170	0.3829541505
171	0.382815269
172	0.3827377052
173	0.3826735725
174	0.3826040675
175	0.382569069
176	0.3825217698
177	0.3824361342
178	0.3823841071
179	0.3823088971
180	0.3822642889
181	0.3822182552
182	0.3821603974
183	0.3821161273
184	0.3820353704
185	0.3819731028
186	0.3818436867
187	0.3817858706
188	0.381741273
189	0.3817002939
190	0.381657914
191	0.3816107154
192	0.3815700841
193	0.3815081634
194	0.3814625685
195	0.3813926093
196	0.3813580075
197	0.3813154633
198	0.3812485871
199	0.3811448816
200	0.3810287141
201	0.3809446576
202	0.3809045884
203	0.3808362266
204	0.3807788378
205	0.3807066844
206	0.3806500671
207	0.3806235549
208	0.3805307006
209	0.3804485135
210	0.3804005939
211	0.3803506962
212	0.3803233735
213	0.3802096086
214	0.380157424
215	0.3801139652
216	0.3800622189
217	0.3799947512
218	0.3799102982
219	0.3798671763
220	0.3798292397
221	0.3797546283
222	0.3796750383
223	0.3796183894
224	0.3795708782
225	0.3795447782
226	0.3795333304
227	0.3794670095
228	0.3793486859
229	0.3792855263
230	0.3792392057
231	0.3791660889
232	0.3790909453
233	0.3790369522
234	0.3789940569
235	0.3788892189
236	0.3788397151
237	0.378781911
238	0.3787684303
239	0.3787359107
240	0.3786437521
241	0.3785798901
242	0.3785102304
243	0.3784447823
244	0.3783597177
245	0.3783013632
246	0.3782403138
247	0.3781875975
248	0.3781196687
249	0.3780442017
250	0.3779508014
251	0.3778944366
252	0.3778768904
253	0.3778289736
254	0.3777752145
255	0.3777747874
256	0.3777185333
257	0.3776596318
258	0.3775825281
259	0.3775196579
260	0.3774424284
261	0.3773753657
262	0.3773203318
263	0.3772834732
264	0.3771797514
265	0.3771335687
266	0.3771012713
267	0.3770286708
268	0.3769890614
269	0.3769399849
270	0.3768785924
271	0.3768214021
272	0.3767845385
273	0.3767102589
274	0.3766774931
275	0.3766489796
276	0.376635223
277	0.3765794094
278	0.3765430153
279	0.3764837751
280	0.3764373487
281	0.3763862169
282	0.3763523411
283	0.3763011195
284	0.3762511564
285	0.3762402104
286	0.3762338991
287	0.3761854322
288	0.3761114703
289	0.3760957089
290	0.3760747983
291	0.3760260635
292	0.3760162095
293	0.3759783367
294	0.3759380837
295	0.3759289874
296	0.3758772501
297	0.3758201147
298	0.3758015187
299	0.3757424471
300	0.3756863631
301	0.3756583899
302	0.3756018433
303	0.3755984631
304	0.3755543199
305	0.3755463906
306	0.3754907374
307	0.3754111697
308	0.3753988892
309	0.3753080335
310	0.3752583435
311	0.3751981254
312	0.3751175239
313	0.3750503194
314	0.3750059367
315	0.3749947166
316	0.3749823666
317	0.3749692757
318	0.3749215507
319	0.374875823
320	0.3748203514
321	0.3748100782
322	0.3748006603
323	0.3747579408
324	0.3747494079
325	0.3747415864
326	0.3747344173
327	0.3747278464
328	0.3747116434
329	0.374705588
330	0.3746849455
331	0.3746122603
332	0.374578814
333	0.3745447777
334	0.374539254
335	0.3745011655
336	0.3744603265
337	0.3744321221
338	0.3743963761
339	0.3743687752
340	0.3743223355
341	0.3743172843
342	0.3743001244
343	0.3742701764
344	0.3742353296
345	0.3741866399
346	0.3741651358
347	0.3741347825
348	0.3740784294
349	0.3740711534
350	0.3740197827
351	0.3740013427
352	0.3739654247
353	0.373901303
354	0.3738804657
355	0.3738213803
356	0.373781863
357	0.3737400008
358	0.3736643146
359	0.3736238088
360	0.3735772647
361	0.3735269966
362	0.3734930135
363	0.3734838917
364	0.3734341496
365	0.3733796666
366	0.3733470133
367	0.3733097892
368	0.3732672523
369	0.3732550067
370	0.3732452062
371	0.3732030183
372	0.3731762504
373	0.3731234306
374	0.3730902009
375	0.373065766
376	0.3730114026
377	0.3729674078
378	0.3729605462
379	0.3729418627
380	0.372902561
381	0.372864075
382	0.3728213573
383	0.3728188193
384	0.3727692902
385	0.3727583407
386	0.372714376
387	0.3726760263
388	0.3726382492
389	0.3725976871
390	0.3725623355
391	0.3725128031
392	0.3724709984
393	0.3724614516
394	0.3724227457
395	0.3724188729
396	0.372415328
397	0.3723710367
398	0.3723555009
399	0.3723190599
400	0.3723009757
401	0.3722682123
402	0.3722315118
403	0.3722001534
404	0.3721673626
405	0.3721270447
406	0.3721126262
407	0.3720792455
408	0.3720769751
409	0.3720322246
410	0.371996465
411	0.37192961
412	0.3719082794
413	0.3718441018
414	0.3718154373
415	0.3717886865
416	0.3717582533
417	0.3717159348
418	0.3716792269
419	0.3716263063
420	0.3715642302
421	0.37155272
422	0.371513125
423	0.3714557315
424	0.3714037605
425	0.3713718743
426	0.3713567642
427	0.371338418
428	0.3713119466
429	0.3712963578
430	0.3712714585
431	0.371256168
432	0.3712238322
433	0.3711905239
434	0.3711550277
435	0.3711519043
436	0.3711490469
437	0.371118475
438	0.371114625
439	0.3710590712
440	0.3710277878
441	0.3710137471
442	0.3709803317
443	0.3709242986
444	0.3709216658
445	0.3708841034
446	0.3708368741
447	0.3708037083
448	0.370797644
449	0.3707720993
450	0.3707520607
451	0.3707380553
452	0.3706840621
453	0.3706268256
454	0.3706244398
455	0.3706043039
456	0.3705564807
457	0.370521442
458	0.3704889218
459	0.3704539381
460	0.3704026202
461	0.3703893451
462	0.370350916
463	0.3703212652
464	0.3703193081
465	0.3702680142
466	0.3702454749
467	0.370218353
468	0.3701901965
469	0.3701817567
470	0.3701428154
471	0.3700957129
472	0.3700616427
473	0.3700562845
474	0.3700357696
475	0.3700112634
476	0.3699630847
477	0.3699318148
478	0.3699020734
479	0.3698525996
480	0.3698438128
481	0.3698170657
482	0.3697892221
483	0.3697774085
484	0.3697630383
485	0.3697224449
486	0.3696649055
487	0.3696491484
488	0.3696284116
489	0.3695900895
490	0.3695696333
491	0.369528126
492	0.3694953529
493	0.3694941551
494	0.3694568668
495	0.369423077
496	0.3694030932
497	0.3693979424
498	0.3693936404
499	0.3693508927
500	0.3693078728
501	0.3692679285
502	0.3692095096
503	0.3691697866
504	0.3691374137
505	0.3691227809
506	0.3691180673
507	0.3690812257
508	0.3690451664
509	0.3690142651
510	0.3690017818
511	0.3689516789
512	0.3689476572
513	0.368938637
514	0.3689138916
515	0.3688551061
516	0.3688214166
517	0.3687665454
518	0.3687428649
519	0.3687227287
520	0.3686958681
521	0.3686877631
522	0.3686756156
523	0.3686619247
524	0.3686380781
525	0.3685986584
526	0.3685706372
527	0.3685695362
528	0.368555066
529	0.3684991071
530	0.3684565143
531	0.3684472759
532	0.3684462241
533	0.368418924
534	0.3683815638
535	0.3683501115
536	0.3683268988
537	0.3683233344
538	0.3683063442
539	0.3682883779
540	0.3682408348
541	0.3681854228
542	0.3681504546
543	0.3681289933
544	0.3680981141
545	0.3680807077
546	0.3680558675
547	0.3680309531
548	0.3680147876
549	0.3679717894
550	0.3679476186
551	0.3679150426
552	0.3678981018
553	0.3678597088
554	0.3678346322
555	0.3678018509
556	0.3677700496
557	0.3677432599
558	0.367735668
559	0.3677035785
560	0.3676689708
561	0.3676481105
562	0.3676393998
563	0.3676177144
564	0.367579598
565	0.3675686969
566	0.3675608766
567	0.3675598502
568	0.3675248712
569	0.3674980307
570	0.3674778133
571	0.3674272397
572	0.3674001801
573	0.3673728039
574	0.367343956
575	0.3673114059
576	0.3672702244
577	0.3672345257
578	0.3671928351
579	0.3671742316
580	0.3671292746
581	0.3671129033
582	0.3670959141
583	0.3670703914
584	0.3670519974
585	0.3669828595
586	0.3669819293
587	0.3669604517
588	0.3669258416
589	0.3669019842
590	0.366879814
591	0.3668520883
592	0.3668346543
593	0.3668012644
594	0.3667796219
595	0.3667424683
596	0.3667381137
597	0.3667265479
598	0.3667050539
599	0.3666984833
600	0.3666537579
601	0.3666135448
602	0.3665747013
603	0.3665321059
604	0.3664991839
605	0.3664961783
606	0.366487846
607	0.3664689136
608	0.3664616423
609	0.3664477101
610	0.3664069135
611	0.3663760002
612	0.366345087
613	0.3663278777
614	0.3662876211
615	0.3662732406
616	0.3662507716
617	0.3662450783
618	0.3662411369
619	0.3662154391
620	0.366211793
621	0.3661980065
622	0.3661860751
623	0.3661449637
