iter	Passed	Remaining
0	11	11694
1	22	11029
2	34	11561
3	46	11647
4	60	11955
5	72	11942
6	84	12023
7	97	12121
8	111	12328
9	126	12483
10	144	12993
11	158	13062
12	170	12975
13	183	12920
14	195	12845
15	207	12760
16	218	12638
17	232	12675
18	244	12627
19	258	12677
20	272	12725
21	286	12751
22	301	12795
23	313	12733
24	328	12802
25	341	12790
26	355	12826
27	367	12748
28	378	12689
29	391	12666
30	407	12738
31	420	12706
32	438	12862
33	454	12918
34	474	13084
35	491	13159
36	508	13239
37	526	13330
38	539	13298
39	553	13273
40	567	13267
41	581	13265
42	595	13248
43	607	13205
44	621	13184
45	634	13165
46	647	13136
47	661	13123
48	676	13125
49	691	13129
50	705	13124
51	720	13140
52	735	13138
53	749	13121
54	764	13127
55	779	13133
56	793	13134
57	808	13135
58	822	13125
59	835	13088
60	852	13115
61	865	13100
62	880	13094
63	894	13078
64	908	13073
65	923	13068
66	937	13053
67	951	13042
68	967	13055
69	982	13047
70	994	13011
71	1007	12981
72	1022	12983
73	1040	13017
74	1053	12988
75	1065	12956
76	1081	12959
77	1095	12947
78	1114	12991
79	1129	12984
80	1143	12975
81	1157	12953
82	1170	12935
83	1183	12903
84	1198	12904
85	1215	12914
86	1227	12880
87	1240	12851
88	1254	12845
89	1269	12833
90	1282	12812
91	1297	12801
92	1311	12786
93	1323	12754
94	1335	12726
95	1349	12707
96	1364	12700
97	1380	12704
98	1396	12705
99	1410	12698
100	1424	12681
101	1441	12693
102	1459	12708
103	1483	12780
104	1497	12764
105	1511	12745
106	1530	12775
107	1543	12751
108	1558	12742
109	1573	12732
110	1589	12730
111	1604	12724
112	1619	12709
113	1633	12694
114	1645	12666
115	1659	12650
116	1673	12628
117	1687	12613
118	1702	12602
119	1717	12595
120	1728	12554
121	1744	12554
122	1758	12536
123	1772	12521
124	1784	12493
125	1799	12480
126	1814	12472
127	1827	12452
128	1841	12430
129	1853	12406
130	1866	12380
131	1883	12383
132	1896	12363
133	1914	12374
134	1929	12361
135	1945	12362
136	1957	12333
137	1969	12302
